Order Number,Order Date,Net Amount,Line Number,Part Description,Unit Cost,Order Quantity,Line Cost,Vendor ID,Vendor Name,Location Name
TSQ/96225     ,18/04/2023,7011.5,1,"FIREFIGHTER RIGHT ANGLED    TORCH, HANDLAMP, WOLF, TR-30+LP ",34.39,200,6878,6404        ,WOLF SAFETY LAMP CO LTD       ,OPERATIONAL SUPPORT GROUP - GENERAL STORE                   
TSQ/96225     ,18/04/2023,7011.5,2,"TORCH, END CAP ASSEMBLY,      FOR THE WOLF HANDLAMP         ",2.67,50,133.5,6404        ,WOLF SAFETY LAMP CO LTD       ,OPERATIONAL SUPPORT GROUP - GENERAL STORE                   
TSQ/98917     ,30/05/2023,9972.5,1,"DRESSING, CHITOGAUZE          (IEC PACK)                    ",22.03,250,5507.5,20169       ,Safeguard Medical Technologies,OPERATIONAL SUPPORT GROUP - GENERAL STORE                   
TSQ/98917     ,30/05/2023,9972.5,2,"DRESSING, RUSSELL CHEST SEAL  (IEC PACK)                    ",12.23,250,3057.5,20169       ,Safeguard Medical Technologies,OPERATIONAL SUPPORT GROUP - GENERAL STORE                   
TSQ/98917     ,30/05/2023,9972.5,3,"DRESSING, CORIUS SEAL         (IEC PACK)                    ",5.63,250,1407.5,20169       ,Safeguard Medical Technologies,OPERATIONAL SUPPORT GROUP - GENERAL STORE                   
TSQ/98928     ,30/05/2023,5820,1,"BOTTLE, FOR DRINKING WATER, CLEAR PLASTIC, LFB LOGO IN RED  ",1.94,"3,000",5820,15782       ,GEIGER BTC GROUP              ,OPERATIONAL SUPPORT GROUP - GENERAL STORE                   
TSR/00637     ,28/06/2023,6840,1,"FIREFIGHTER RIGHT ANGLED      TORCH, HANDLAMP, WOLF, TR-30+ ",34.20,200,6840,6404        ,WOLF SAFETY LAMP CO LTD       ,OPERATIONAL SUPPORT GROUP - GENERAL STORE                   
TSQ/96558     ,19/04/2023,6210,1,"BELT, TROUSER, LEATHER, BLACK,STANDARD: UP TO 117CM(46"")    ",10.35,500,5175,16565       ,WILLIAM SUGDEN & SONS LTD     ,OPERATIONAL SUPPORT GROUP - UNIFORM STORE                   
TSQ/96558     ,19/04/2023,6210,2,"BELT, TROUSER, LEATHER, BLACK,EXTRA LONG: UP TO 130CM(51"")  ",10.35,100,1035,16565       ,WILLIAM SUGDEN & SONS LTD     ,OPERATIONAL SUPPORT GROUP - UNIFORM STORE                   
TSF/01910     ,14/04/2023,5384,1,SOFTWARE LICENCES             (ICT)                         ,53.84,100,5384,10026       ,PHOENIX SOFTWARE LTD          ,ICT - SERVICE MANAGEMENT                                    
